id,nama,Umur,Status,no_hp,alamat
40,"Rachel Hutagalung, S.T.",31,Belum Menikah,08284089530,"gAnG AhMAd YAni NO.168, keC. KAranGpAWitAN, SuKaBUMI, JAwa bARAT"
41,"Ina Uwais, M.Ak",21,Sudah Menikah,08293357193,"JL. suDiRmaN No.132, kEc. CimAHi SelaTAN, cIREbON, jawA bARAT"
42,Ida Mayasari,51,Sudah Menikah,08626125654,"gaNG ahmAd YanI NO.190, kEC. cIBEUNYiNG, sUkabUmI, Jawa bARAT"
43,Ivan Prasetya,65,Belum Menikah,08787215778,"koMpLeK merdEKa no.159, kec. cIbeUNyIng, SubaNG, jAWa barAt"
44,"R. Jayeng Hutapea, M.Ak",25,Belum Menikah,08495610936,"KoMPLEk diPOneGORo no.200, Kec. cIMaHi SELatan, KUniNgan, JaWA BAraT"
45,Dian Puspasari,45,Sudah Menikah,08211464259,"gAnG paHlawaN No.92, KeC. CibeunYiNg, dEPoK, jaWA BArAt"
46,Rangga Rahmawati,46,Belum Menikah,08864624719,"jAlAN dewI sARTikA NO.83, kec. cIBeunyiNG, SukABUMI, jAwa BaRAt"
47,Rendy Haryanti,56,Sudah Menikah,08148274410,"jL. deWI sarTIKA NO.145, KEcAmAtAn CimaHI, GarUT, JAWa Barat"
48,Ella Rajata,26,Sudah Menikah,08945932450,"JL. ahMAd Yani nO.196, KEC. CiMAhI seLAtaN, PAngANDaRan, jawA BarAt"
49,Hasan Hutagalung,25,Sudah Menikah,08835338468,"KOmpLek suDIRMan nO.175, KEC. cImahi TEngah, DePok, JAwA bArAT"
50,Bahuwirya Sitorus,20,Sudah Menikah,08067578040,"GAng SuDIRman No.78, keCAMaTan ciMaHi SelatAn, SUkaBUmI, Jawa BArat"
51,Ir. Galak Rahimah,66,Sudah Menikah,08549504514,"gaNg ahMAd yanI nO.145, kEc. cimAHi, INdRAmAYu, jaWa BaRaT"
52,Aris Handayani,21,Sudah Menikah,08427005123,"jL. dIpOnEGORO no.103, keC. kARANGPawiTAN, DePoK, JaWa baRAT"
53,"H. Gangsa Yulianti, S.Psi",31,Belum Menikah,08821960614,"JAlan DiPoNegORo nO.18, KeCAMatAn cIMAHi sELatAN, Bogor, jAWa barat"
54,Faizah Nainggolan,21,Belum Menikah,08840177325,"KOmplEK MerdeKA nO.162, KecamAtaN cimAhI TENgaH, cIMahi, jawa BAraT"
55,"Drs. Galih Napitupulu, S.Farm",67,Sudah Menikah,08202841068,"JAlAN SUdIRMAn nO.32, KeC. bOjoNG, ciaNjUR, JAWA BArat"
56,Nadia Wacana,22,Belum Menikah,08348183965,"JALaN AhmAd yanI No.112, kEcamATAn bOJong, SUMeDAng, JaWa BARat"
57,"Jelita Nasyiah, S.Pd",38,Sudah Menikah,08837286907,"GAng pahLAwAn NO.65, KEcamaTAn bOJong, CIAnjUr, JaWA BaRAT"
58,drg. Raisa Sitorus,60,Sudah Menikah,08053595335,"komplEK dIpONegoro nO.91, KeC. cIbeuNyINg, SuKabumI, Jawa baRAT"
59,Dt. Taufik Firgantoro,59,Sudah Menikah,08348389918,"jl. ahmAd YaNi nO.148, Kec. CiMaHi, taSiKMAlAYa, jaWA BaRAt"
60,Yosef Nurdiyanti,45,Sudah Menikah,08108662754,"KoMpLEk ahmad yAnI no.114, Kec. cIMAhI, KARAwANG, jawA bARat"
61,Elma Maulana,50,Sudah Menikah,08180058556,"Gang DIPonegOrO nO.61, kEc. cIMAHi sELATAN, pANGANdAran, jAWA bARaT"
62,Kamila Agustina,41,Belum Menikah,08828710536,"jl. suDIrMaN no.58, KEcAmaTAn CIMaHI, cIREBON, jAWA bArAt"
63,Puti Mutia Susanti,41,Belum Menikah,08148761104,"Jl. AhmAd yANI no.185, KEC. CIbeUnYINg, bEkASi, JAwa BarAT"
64,Lukman Siregar,35,Belum Menikah,08576963082,"jL. ahMaD YANI No.22, KecamATAn CiMAHI tEnGAH, BOGOr, JawA Barat"
65,Vanya Tarihoran,46,Belum Menikah,08386120025,"JalAN DIpoNEGoro nO.46, KecamATan kAraNgpAWiTAn, beKaSi, JAWa baRAT"
66,"Kasim Tamba, M.Farm",39,Sudah Menikah,08159330823,"gaNG AhMAD yAni No.16, keCaMATAN CIBeUNYINg, ciMahi, jAwa BArAT"
67,"Soleh Marbun, S.E.",53,Belum Menikah,08726678019,"ganG suDirmAn nO.5, KEC. cIbeuNyInG, cIRebON, jawA baRAt"
68,Ghaliyati Rahimah,36,Sudah Menikah,08487775622,"jL. DeWi SARTIKA No.31, KECAMAtAn cIBeUnYInG, KaraWaNg, JaWA bARat"
69,Paiman Tarihoran,39,Belum Menikah,08024110188,"JAlAn dEWi SaRTIKA nO.42, KeCamaTan ciMAhi TEnGAh, KuninGAN, jawa bARaT"
70,Mulyanto Jailani,53,Belum Menikah,08531310129,"gaNg DipoNegoro NO.157, KEc. cimahI TEnGah, BaNDung, jawa bAraT"
71,"Sutan Ganda Habibi, M.Ak",67,Sudah Menikah,08356061048,"JL. SuDirmAN NO.133, KeCamaTaN ciMahi uTara, TASIkMALAYA, jawA BaRAT"
72,Zahra Kuswandari,22,Belum Menikah,08519383597,"GaNg aHmAD YANi NO.52, kEC. CImaHi SelaTAn, BogOR, JaWA bArAt"
73,"Tgk. Rini Wasita, S.E.",40,Sudah Menikah,08621732024,"kOMPlEK PAhlAwAN NO.43, keCaMAtAN CImAhi uTarA, SUBANG, JaWA bArAt"
74,Sutan Gangsa Mustofa,70,Belum Menikah,08171138524,"jALAN SudiRMaN No.149, KEcamaTAN CimAHi utaRa, BAnjaR, JawA bARAT"
75,Arsipatra Manullang,34,Sudah Menikah,08966863725,"koMPLek AhmAD YANi No.174, KEc. bojoNG, PANgaNDaRAN, jAWA bARaT"
76,Yosef Zulkarnain,30,Sudah Menikah,08349140896,"ganG pAHLawaN No.197, KeC. cImAhI, cimAHi, jaWa BARaT"
77,R. Harjaya Irawan,48,Sudah Menikah,08177707838,"JAlAn dipONEgORo NO.38, kECamaTAN cIbEUNyinG, CireboN, jAWA baRAt"
78,Damu Padmasari,52,Belum Menikah,08771703487,"kOmpLek dIPoneGoRO NO.141, KEcAmATaN ciMaHi SelatAN, tasikmaLayA, Jawa Barat"
79,Rangga Damanik,25,Sudah Menikah,08965639302,"JAlan MERDeka No.109, KECaMAtan cIBEuNYING, SukaBuMI, jawa barat"
80,Rosman Puspita,65,Belum Menikah,08413633305,"JalAn dewI sARTIKA no.47, keC. cImAhi, maJalEngkA, jawa baRAT"
81,Drs. Almira Haryanto,32,Belum Menikah,08584492380,"jl. meRdEka no.69, keCAMAtAn KAraNGpAwITAn, tASIkMaLayA, jAWA BAraT"
82,R. Calista Narpati,57,Sudah Menikah,08610426387,"jl. mERDEka no.177, KecaMATaN CImahi SelaTAN, GAruT, JAWA BAraT"
83,"Cut Cinthia Mahendra, S.I.Kom",54,Sudah Menikah,08757250737,"JL. dewi SarTIkA no.47, KecaMataN cimAhI selAtAn, CIrebOn, jAwa bARaT"
84,Reza Winarsih,59,Belum Menikah,08437338273,"jAlAn SudiRMAn No.134, KecamATaN KaraNgPAWiTaN, tasIKMAlAYA, JAwa bArat"
85,Gawati Hutasoit,22,Sudah Menikah,08379007052,"gang AhMad yANi no.109, KECamATAn karAnGPAwITaN, SUBaNg, JaWa BarAT"
86,"Tami Wahyudin, M.TI.",30,Sudah Menikah,08846713720,"JaLAN PahlAWAN nO.92, KecaMATaN CiMAHi TenGAh, GaRUT, JawA BAraT"
87,Amalia Sirait,57,Belum Menikah,08614340027,"gANG sUdirMAn No.190, keC. ciMaHI, SuBANG, Jawa Barat"
88,Genta Wijaya,35,Sudah Menikah,08554369602,"KOmPlEK PAHlaWan NO.80, kec. cimaHI SElATaN, bandUnG, JawA BARat"
89,Taufik Haryanti,37,Belum Menikah,08088348826,"kOmPlEk merDeKA NO.121, KEcaMAtAn kaRaNgPawItAN, CIReBon, jAWA BARat"
90,Lalita Kuswoyo,67,Belum Menikah,08147944434,"GAnG DiPoNeGOro No.184, kECAmATaN kaRanGpAWITAN, SUMedAng, jawA BARAT"
91,Panji Zulkarnain,56,Belum Menikah,08744172190,"komPLEK PahlAWAn No.138, KECAMaTAN cimAhi utaRa, KARAwAnG, jAwA BArAT"
92,R.A. Farah Novitasari,38,Belum Menikah,08425949375,"gaNG aHMAd YANI No.69, KeCAmataN karanGPawiTan, subang, Jawa BarAt"
93,Amalia Suryatmi,21,Sudah Menikah,08892313479,"jL. PaHlAwaN NO.180, KEcAmAtan CIMAHi tenGah, ciREboN, JaWa BARat"
94,Ida Hartati,57,Sudah Menikah,08730492069,"JALan AHMad YAni No.46, kec. CImaHi tengaH, cIaNjur, jawA BAraT"
95,Gandi Hidayat,67,Belum Menikah,08259246535,"Jalan suDIrman nO.94, kEC. CIbeUNyINg, subanG, jAwA BArat"
96,"Luis Gunawan, S.Sos",70,Belum Menikah,08336259354,"jl. diPONEgORO No.23, Kec. CimaHi TENgaH, GArut, JAWA BARAt"
97,Elvin Permadi,25,Sudah Menikah,08063038637,"JL. pahlAwAn nO.2, Kec. cImaHi tENGaH, IndrAmayU, JAwa bARaT"
98,Lembah Kuswandari,47,Sudah Menikah,08611706159,"gaNG pAHLAWaN no.35, kec. kaRanGPAWItAn, KuNiNGAn, jAwA bARAT"
99,Winda Agustina,47,Sudah Menikah,08828047039,"GAng pahlAwAN nO.7, Kec. CimAhI seLATAN, suKabUmI, jAWA bArAt"
100,Candrakanta Mayasari,54,Belum Menikah,08380700723,"jl. DeWi sartiKa NO.19, kecAMAtaN ciMAhi sElATAN, KArAwANg, jAwA BaRaT"
101,"Winda Sudiati, S.T.",39,Belum Menikah,08522725790,"kOMpLek AHMad YaNi nO.89, KEcamaTAN CIBeUNYing, GArUT, JAwa BArAT"
102,Banara Sihombing,47,Belum Menikah,08996173057,"gAnG deWi saRTIka NO.178, kEc. cImahi tEnGAH, CIMAhI, jAWa bARAt"
103,Indah Narpati,37,Belum Menikah,08618912447,"kOmplEK deWI SarTIka No.125, kecamATan ciBeUnyIng, iNDrAMAYU, jawA bARAt"
104,Kacung Dabukke,63,Sudah Menikah,08838074230,"JaLAN PaHlaWAn nO.12, kEcAMAtan CimAhI TEngAH, bogor, jAwa BaRaT"
105,Aswani Widodo,34,Belum Menikah,08192644997,"komplek meRdeka No.23, kecaMaTan CiMaHi, sumEdang, jAWa BArAt"
106,Aurora Nuraini,36,Sudah Menikah,08150682525,"KOmPLeK AHMaD YaNI no.13, keC. CiMaHi UTaRA, ciMAHi, Jawa BARAt"
107,Olivia Sirait,59,Belum Menikah,08088231612,"Jl. DEwI SartIkA nO.179, KecAmAtan CibEuNyinG, CianJUr, Jawa bARaT"
108,Ajiono Mandasari,29,Sudah Menikah,08112154061,"gang AhMaD yaNI No.141, kEcaMaTaN cimahI uTaRA, majaLEnGka, jAwA bArAT"
109,Wakiman Pradana,55,Belum Menikah,08738985343,"jL. aHmaD YaNi No.149, KEC. CIMaHi TEngaH, MaJaLenGKA, jAwa baRAT"
110,"Ir. Tania Manullang, M.Ak",32,Belum Menikah,08236638716,"KoMPlEk MerDeka NO.117, kECAMatan CImAhi selATan, SUKabuMi, JaWa BArat"
111,Kasiran Nainggolan,38,Belum Menikah,08763478386,"jALaN SudirMAN no.105, kECAmaTAN KarANgPAwItaN, SUMEdAnG, jAwa bARaT"
112,Diana Habibi,32,Sudah Menikah,08786337932,"gANG PaHlAwaN nO.82, keC. cIMahi tengAh, inDRAmayu, JAWA bAraT"
113,"Aswani Handayani, S.T.",63,Belum Menikah,08372274799,"koMPleK AhmaD Yani no.69, kECamAtaN CimaHi tenGaH, SUkaBuMI, jAWA bArAt"
114,Betania Setiawan,24,Sudah Menikah,08037234587,"JalAN sUDirMAN no.82, KEC. ciMaHI sELaTan, sUKaBuMI, jaWA baraT"
115,"R. Jamal Uyainah, S.Psi",35,Belum Menikah,08322153611,"KOMplEk ahmaD YaNi nO.44, Kec. CiMAhi tENGAH, cIrEBON, JAWa bArat"
116,Salsabila Damanik,27,Sudah Menikah,08494776772,"KoMPlEK MERDeka No.130, KECAMATAn bojONG, TasIKMalAYa, jAWA BaRAT"
117,Dt. Gada Irawan,48,Sudah Menikah,08400147433,"JL. suDirmAn NO.148, KEcamataN kArANgPawiTan, sUMEDANG, JaWA bARat"
118,Padmi Purwanti,57,Sudah Menikah,08479205148,"JL. AhMaD yani No.86, kec. BOjOnG, pangaNDAran, jAwa bARAT"
119,Zamira Hasanah,59,Belum Menikah,08250876569,"Gang pAHLawan nO.67, kEcAMataN ciMAHi, kuNingAN, jaWA baRaT"
120,"R.M. Eko Ardianto, M.TI.",25,Sudah Menikah,08480430511,"gAnG sUDIrMAn No.61, keC. CImaHi SelaTAn, pURWAkARta, jAwa BARat"
121,"T. Jumadi Nashiruddin, M.Pd",46,Belum Menikah,08472150700,"Jalan dipONegoRo No.67, KecAmatan bOjONG, sUMeDANg, JAWa BARAt"
122,Gilda Budiman,61,Sudah Menikah,08139994718,"jALAn dIpoNEgORO No.101, kECAmatAn CImahI seLATAN, subANg, jAwa bArAT"
123,Nrima Suryono,55,Sudah Menikah,08445563056,"Gang SUdirMAN NO.62, KeC. CIMahI UTarA, majalengka, JaWa bArAT"
124,Hamima Tamba,48,Sudah Menikah,08799119281,"GAng ahmAd yAni nO.158, KEcAmatAN boJoNg, majalENGka, Jawa bArAt"
125,Aisyah Kuswandari,24,Belum Menikah,08765739132,"jaLaN aHMad yANi no.40, kECAMatAn CIMAhI, KuningAn, jAWa baraT"
126,dr. Gina Hartati,53,Sudah Menikah,08443242868,"JaLaN SudIRMaN nO.91, kEcaMAtaN CIBEuNYINg, BANDUnG, JAWa BaRAt"
127,Tgk. Makara Nasyiah,19,Sudah Menikah,08210410697,"GANg mERDeKa nO.51, kEcaMATAn bOJoNg, CiReBON, JAwa BaRAt"
128,Limar Hardiansyah,32,Sudah Menikah,08044481492,"jL. SUDirman no.57, keCaMAtaN CImAhI tengah, sUBanG, JAWA BArAt"
129,"Ilyas Hastuti, S.E.I",65,Sudah Menikah,08720900688,"koMPleK dIPONegorO nO.64, KEc. BOjONG, sUmedaNG, Jawa barAT"
130,Yunita Yuniar,42,Sudah Menikah,08820584789,"gaNG ahMAd yANi NO.98, KEC. ciMaHi selaTAn, SUbaNg, JAwA bARat"
131,Oman Hutagalung,48,Sudah Menikah,08251228868,"GanG dipoNEgORO nO.91, KEc. CImAhI uTARA, GArUt, jAWA BaRAT"
132,Kamila Saragih,66,Sudah Menikah,08204970130,"gAnG SUDiRMaN no.177, kEcaMataN KaRAngPAwITan, GARUT, Jawa BARAt"
133,Zelda Utami,31,Sudah Menikah,08387088407,"KOMpleK dipONegOro nO.177, kEC. CImahi utarA, CimAHi, jAwA BARat"
134,Hartaka Pratiwi,25,Sudah Menikah,08711742999,"Jl. PaHLAWaN No.59, KECAMatan boJOnG, BoGoR, JaWa bArAt"
135,Gantar Oktaviani,56,Belum Menikah,08665217565,"Jalan DEwi sArtIka No.178, keCAmaTAN cIMAHI teNgaH, KAraWanG, jAWA Barat"
136,drg. Rahayu Dabukke,57,Belum Menikah,08959144103,"Jl. ahmAD yani NO.24, keC. cIbeUNYinG, TASIkmALAya, jAwa BARat"
137,"Zahra Mayasari, S.Psi",58,Sudah Menikah,08384479066,"gAnG pAhlaWAN No.135, KEcAmatAn CiMAhi teNGAh, PaNgaNDarAn, Jawa BARat"
138,"Kalim Hardiansyah, S.Pd",26,Sudah Menikah,08499361126,"Jalan SuDirMAN no.129, KeC. CimahI tEnGaH, maJalenGKa, JAwa BarAt"
139,Asmianto Rajasa,46,Belum Menikah,08338570764,"JalAN PaHLawAn nO.140, KEc. kArANgpAWITan, BAndUNg, jaWA BaRaT"
140,R.A. Maimunah Zulkarnain,39,Sudah Menikah,08431867035,"gAng ahmad YaNi NO.145, Kec. kArANgPaWiTAn, MaJalenGka, JAWa bArAT"
141,drg. Puput Hassanah,67,Sudah Menikah,08713346842,"jl. MerdeKA no.167, kec. cimahI tENgah, BOgor, jawA baRaT"
142,Puti Cindy Widodo,47,Sudah Menikah,08081199588,"kOMPlEK MERdekA nO.80, keC. CIMAHi, dePok, jaWA BarAt"
143,Ana Agustina,43,Belum Menikah,08659332895,"Jl. mErdEKa NO.180, kecAmataN cImaHi TEngah, purWakArta, JawA BAraT"
144,"Gaduh Januar, M.Farm",29,Sudah Menikah,08263918283,"GANG MerdeKa No.102, Kec. cimAHI, MAjalENgKa, JAwa baRat"
145,Drs. Zalindra Mulyani,27,Belum Menikah,08358113141,"KompLEK dewi SARtika No.40, KecAMaTAN cimaHI UtAra, sUkaBUMi, jawA bARat"
146,"drg. Eli Winarno, S.Kom",28,Sudah Menikah,08840167987,"Jl. DeWI SARTikA no.179, keC. cimahI Utara, cireboN, jaWa bARAt"
147,"Puti Ella Lazuardi, S.Pd",61,Sudah Menikah,08745179815,"JALAn sudiRmAN No.123, KEcAMaTaN CImAHI, sUbAng, JAwa bARaT"
148,"R. Mahmud Budiman, S.Farm",66,Sudah Menikah,08269905231,"GANG ahMaD Yani NO.135, keCAMATAn cIMaHi seLatan, bandUNG, Jawa BaRat"
149,Padmi Haryanto,61,Sudah Menikah,08035140838,"KOmPLEK dipOnegoRo NO.136, kECamaTAn KaRaNGpAwITAn, pURWAKARta, JaWA BaRat"
150,"drg. Bella Simbolon, S.E.I",58,Sudah Menikah,08010335296,"KomplEk paHlAwaN no.135, kEcAMATAn CiMahI, DePok, jAwA BarAt"
151,Legawa Saefullah,66,Sudah Menikah,08748169423,"JAlaN PAHlAwaN no.164, keC. kaRAnGpAWiTAn, sUmedaNG, JAwa bARat"
152,Daru Hidayanto,39,Sudah Menikah,08910912210,"JAlaN SuDIrMAN nO.195, KeC. cimahi, SuMEDaNg, jawA baRat"
153,Laila Halim,50,Sudah Menikah,08549766256,"JL. mErdeKa NO.33, keC. kAraNGPaWitAn, bEKAsI, JawA bAraT"
154,Dinda Sihombing,61,Sudah Menikah,08168810353,"komPlEk dipOnEGorO no.113, kECAMataN CIBEunyiNG, cianJuR, JAwA bArat"
155,"Drs. Juli Prasasta, S.Gz",48,Sudah Menikah,08472470667,"jALaN aHMAd yANI No.152, KecaMaTaN KarAngPAWitaN, dEpok, JawA BaRAT"
156,"Cut Zaenab Prabowo, S.Pt",57,Belum Menikah,08230897150,"jAlAN dEwi saRtiKa no.106, KeC. cIBeunyinG, PaNgandaRaN, JAwA bArat"
157,Ira Hutasoit,61,Sudah Menikah,08591997989,"jalAn merdEka no.186, KEc. CImaHI SElAtAn, BOgoR, JaWa baraT"
158,Puji Yulianti,61,Belum Menikah,08280661485,"GanG dEwI SArTika no.41, kecaMATAn cimaHI SElATAN, BandUnG, jAwa BARAt"
159,Okto Rahayu,28,Sudah Menikah,08334188897,"JL. Ahmad yaNi NO.113, KeCaMaTAN cIMAHi SELAtan, CIREBon, JAWA baRaT"
160,Rahman Mardhiyah,21,Belum Menikah,08436215129,"gANg sUDiRMAN nO.6, kecAMaTan ciMahI UTARa, tAsIKmalaya, jawa BaraT"
161,"Leo Utami, M.Farm",48,Sudah Menikah,08757605816,"Jalan PaHlawAn NO.31, KEcAMAtAN boJong, mAjALENgkA, jawa Barat"
162,Dr. Alika Kusumo,66,Sudah Menikah,08151613827,"jL. sUDiRMan no.19, KECamATAn cIMAHi utARA, paNGaNdArAn, JaWa BARAt"
163,Nrima Prastuti,65,Belum Menikah,08705409538,"GaNG paHlawan no.29, keC. CImaHI utAra, bANJaR, jAWa bARat"
164,"Ir. Widya Prasasta, S.T.",56,Belum Menikah,08477668848,"Gang SUDIRmaN NO.145, KeC. CiMaHi, gArut, jawa BARat"
165,"H. Pangeran Kurniawan, S.Sos",26,Sudah Menikah,08176150666,"jl. PAHlAWAN nO.25, kEC. BoJoNG, cIMAHi, jawa BaRat"
166,"R. Fitriani Purwanti, S.Psi",27,Belum Menikah,08604028552,"gaNg aHmad yANI No.136, KEc. BojoNG, purWaKaRTA, JawA BarAt"
167,Marsito Oktaviani,37,Sudah Menikah,08475542129,"kompLek sUDirMaN NO.7, KEc. bOJoNg, CiAnJuR, JAWa BARAT"
168,Rika Halimah,29,Belum Menikah,08834492357,"gAnG diPOnEgOro No.164, KEc. KaRAngPaWiTAn, pUrwAkArtA, JaWa BARAt"
169,Virman Nasyidah,49,Sudah Menikah,08841793499,"kOmPLeK paHLAWaN nO.88, Kec. CiMAhI SelatAN, BANJar, JAWa bArAt"
170,Cawisadi Prayoga,63,Belum Menikah,08978870395,"GaNG dEWI sArTiKa No.29, kECaMataN cImaHI sELatan, IndRAMAyu, jAWA BarAt"
171,Rafi Widodo,47,Belum Menikah,08297219839,"JAlaN AHMAd YANI NO.189, KEc. CimAhI SElatAn, PuRWakaRTa, jawA BArAt"
172,"Bajragin Natsir, S.Kom",49,Belum Menikah,08562873326,"koMplEk pAhLawaN no.92, keC. BoJoNg, pURwakArTA, JAwA barat"
173,dr. Raharja Hardiansyah,23,Sudah Menikah,08576701291,"KoMPLek MErDEKA nO.135, KEC. bOjonG, suMedANg, JAwa BaRat"
174,Olga Hasanah,31,Sudah Menikah,08048854610,"jL. DEWI SaRTiKa No.153, kEcamaTAN cIMAHi utAra, beKASI, jAwA BARaT"
175,Dewi Rahmawati,40,Belum Menikah,08658256052,"koMpLEk DeWi SArtIka nO.128, kECaMataN KArAngpAwiTAN, ciaNJUr, jAWa BARat"
176,Syahrini Samosir,62,Belum Menikah,08470297321,"jl. DIponEGORo no.111, keC. CiMAHi TeNgAH, garut, jAWA BArat"
177,Dr. Jamalia Firgantoro,69,Sudah Menikah,08174183339,"jL. deWi sarTIKA no.183, kec. ciMAhI uTArA, CimaHi, JaWA BARat"
